xaxis,0,StdDev,431,StdDev,862,StdDev,1293,StdDev,1724,StdDev,2155,StdDev,2586,StdDev,3017,StdDev,3448,StdDev,3879,StdDev,4311,StdDev,4742,StdDev,5173,StdDev,5604,StdDev,6035,StdDev,6466,StdDev,6897,StdDev,7328,StdDev,7759,StdDev,8191,StdDev
1.0,0.965475,0.0060621262771407254,0.965725,0.006484548943450121,0.9749500000000001,0.0062886803067098325,0.962275,0.0066105502796665935,0.9658999999999999,0.008708616422830905,0.9687249999999998,0.00688108821335696,0.93835,0.030228752868750625,0.9481249999999999,0.032689591233296254,0.9534749999999999,0.03195777487560734,0.9520500000000001,0.016475663871298167,0.963775,0.01368847599260049,0.943975,0.01725758891038951,0.9476749999999999,0.018166435396081405,0.93535,0.03595104310030516,0.9145,0.04576516142219974,0.934525,0.028712355789798912,0.93395,0.03677631710761695,0.91645,0.038384208992761584,0.934975,0.02999540589823713,0.9356750000000001,0.029576500384595864
4.0,0.9569749999999999,0.007019570855828729,0.95235,0.007209542287829364,0.959325,0.007537862760756533,0.94765,0.01442142503360883,0.9526749999999999,0.014656717743069201,0.9420250000000001,0.015332135369869363,0.855475,0.05906521290065752,0.83605,0.08088385191124368,0.839325,0.07430019767806813,0.9162499999999998,0.035481509268913566,0.916375,0.05041759985362254,0.8380500000000002,0.06505803178701305,0.8883000000000001,0.05784384150451974,0.7766,0.1011033629509919,0.8211000000000002,0.07763208099748455,0.8515499999999999,0.05517832454868489,0.851075,0.06417179579067427,0.838925,0.07464127125793077,0.804125,0.08252641622535174,0.8026,0.06774503671856706
8.0,0.9438749999999999,0.010512343934632247,0.9314500000000001,0.012136618145101185,0.947125,0.008809618323173809,0.922625,0.015489815202254656,0.931,0.012326800071389133,0.9035500000000001,0.02416604022176576,0.767275,0.08332886279675247,0.71765,0.08319090996016332,0.7372,0.08856274611821835,0.87585,0.03737281766203882,0.7467750000000001,0.07033188732715766,0.7410500000000001,0.07759379807690818,0.731825,0.08582770167609056,0.7964249999999999,0.07725117717549682,0.811375,0.06435514256840708,0.7823249999999999,0.08832592696937859,0.72775,0.10936149916675429,0.7333000000000001,0.07720174868485817,0.701,0.11074136535188646,0.683925,0.10660895541651273
12.0,0.9392499999999998,0.009541357345786778,0.918825,0.012994013044475514,0.9335000000000001,0.009107689059250952,0.909825,0.01684174501053855,0.8927500000000002,0.027359413370904008,0.8878250000000001,0.027995434895711144,0.6549250000000001,0.07938431441412087,0.689075,0.08703228926668538,0.6434249999999999,0.08824338147985944,0.8270499999999998,0.04836835225640832,0.673975,0.07344810668083963,0.660575,0.08838463879543774,0.6249,0.09298489124583628,0.72385,0.08252834361599655,0.695025,0.09683555325912069,0.6887749999999999,0.09772397031946665,0.647475,0.07651306669451959,0.6196,0.08395885897271355,0.6491250000000001,0.09771775363259226,0.602525,0.09304944586078952
16.0,0.9345749999999999,0.01298631491224509,0.911425,0.011947567744105922,0.9221999999999999,0.013876599006961308,0.9041250000000002,0.014353026684292076,0.8562000000000001,0.028474725635201478,0.847075,0.036872338887030204,0.6199250000000001,0.08227678515231376,0.82125,0.04363928849099169,0.5879,0.07765107855013992,0.7674749999999999,0.09311041496524435,0.669825,0.10430864956943886,0.64605,0.1027786334799213,0.5926,0.07826007922306238,0.565525,0.08595463556434871,0.657775,0.0925160763056886,0.6148,0.1053333280590716,0.5943,0.06961257070386066,0.54945,0.0768732560777804,0.55865,0.08156394730516664,0.55805,0.08115415885831115
19.0,0.9067250000000001,0.016048344930241258,0.91015,0.012350202427490825,0.9129999999999999,0.01300576795118228,0.8994499999999999,0.015384976438071019,0.8619999999999999,0.027659537234017505,0.8265499999999999,0.029614143580390755,0.618575,0.08077155672017224,0.7568750000000001,0.09886763562966398,0.7233499999999999,0.11861693597459005,0.6131249999999999,0.11798584396019718,0.7391500000000001,0.053689174886563495,0.720925,0.06922874673862009,0.623175,0.09424061955972063,0.5535,0.07417883795261287,0.6119999999999999,0.08924740892597387,0.608,0.07705030824078513,0.5784,0.06732339860702222,0.541075,0.06786324023357565,0.5565249999999999,0.07805382357706764,0.5475,0.08372932580643415
23.0,0.886425,0.018280983972423382,0.90015,0.018978342920286814,0.8996999999999999,0.01695759416898519,0.8523,0.025825568725586674,0.8104500000000001,0.026094970779826504,0.810075,0.04087932698809998,0.562725,0.0728409182740031,0.5843,0.06633709369575969,0.75505,0.09336727210323754,0.71685,0.060485349465800406,0.687075,0.049570852070546456,0.660325,0.07305148441339163,0.5429999999999999,0.06151300675466937,0.635625,0.07487746239690553,0.520175,0.07327922198686337,0.549175,0.07328877386748942,0.5317000000000001,0.08778473671430587,0.515325,0.058521956349732535,0.49932499999999996,0.07122969447498705,0.48565,0.0681104066938379
27.0,0.880625,0.014884030872045394,0.86635,0.02459730676313975,0.892775,0.01813351524112191,0.8093250000000001,0.034881504769720004,0.796475,0.030814759044977116,0.816475,0.03405362499059386,0.5586,0.06569771685530632,0.5378499999999999,0.06892153146876526,0.6149000000000001,0.1202806717640037,0.614975,0.09409821664091196,0.678875,0.0633210816000485,0.55105,0.07526750626930588,0.535275,0.06706600759699358,0.5337999999999999,0.07397303562785564,0.5342,0.08014274764443755,0.529125,0.06892792884600552,0.5348750000000001,0.07946451645231348,0.5193749999999999,0.0708486723587676,0.518075,0.07885695514664512,0.47729999999999995,0.058420116398377714
31.0,0.8528500000000001,0.019042780784328753,0.84405,0.02324537588424846,0.872475,0.017376690565237114,0.79545,0.04018267661567605,0.767775,0.037875775569617055,0.794425,0.028661723168714046,0.532275,0.05162799022816983,0.532025,0.05026504128119263,0.7043250000000001,0.057302001492094495,0.5237,0.05546043634880634,0.618175,0.07063316766930391,0.5918,0.06611815181929996,0.49115000000000003,0.06828929271855141,0.479,0.04949242366261729,0.5255750000000001,0.0844416625546892,0.497375,0.06630749863326169,0.49855,0.062079364526386696,0.483925,0.04184996266426053,0.481775,0.0712423636258652,0.467375,0.05791661570741164
35.0,0.8428749999999999,0.01595021551578536,0.8513,0.022307173734025576,0.8635999999999999,0.021578693194908734,0.799,0.05085076203952109,0.749725,0.039251106672296525,0.7612249999999999,0.034087745231974505,0.533175,0.07084944865699379,0.596525,0.08105676637394314,0.6643,0.0609644158505599,0.574625,0.0833749625187322,0.5290250000000001,0.03997029365666457,0.558975,0.07387641284604986,0.4928749999999999,0.05849281472967427,0.46869999999999995,0.04110243301801002,0.5050250000000001,0.07198419531397153,0.50785,0.06398888575369945,0.4604749999999999,0.0722139139986194,0.47832500000000006,0.050553628702596616,0.47907500000000003,0.06095670082115665,0.45532500000000004,0.06533505471796898
